"DLN","YEAR","CASE #","ROAD SYSTEM CODE","COUNTY","MUNICIPALITY","CRASH DATE","DEPARTMENT NAME","DEPARTMENT #","STATION","LOCATION","ROUTE","SRI","MILEPOST","CROSS STREET","IS RAMP?","RAMP ROUTE","STATE","FIRST EVENT CODE","SECOND EVENT CODE","THIRD EVENT CODE","FOURTH EVENT CODE","MOST HARMFUL EVENT CODE","OTHER PROPERTY DAMAGE","SEVERITY RATING"
"17900589","2017","A310-2017-00068A","01","04","21","2017-01-08 ","NEW JERSEY STATE POLICE","02","BELLMAWR - SQUA","I-295","295 ","00000295__","31.000 ","","","","NJ","99","06","46","","46","DAMAGE TO GUARDRAIL
1 EXECUTIVE CAMPUS, CHERRY HILL, NJ 08002","1"
"17122354","2017","17-0363","02","03","19","2017-01-07 ","MAPLE SHADE PD","01","MAPLE SHADE PD","NJ 73","73  ","00000073__","29.680 ","ROUTE 537 / MAIN ST","","","NJ","56","46","48","","48","","1"
"17502413","2017","17TF00334","02","13","36","2017-01-07 ","TINTON FALLS PD","01","","NJ 18","18  ","00000018__","14.420 ","CR 51 / HOPE RD","","","NJ","46","","","","46","","1"
"17900002","2017","A100-2017-00003A","02","06","14","2017-01-02 ","NEW JERSEY STATE POLICE","02","PORT NORRIS - S","NJ 55","55  ","00000055__","31.000 ","","","","NJ","05","46","","","46","DAMAGE OBSERVED TO 25 FEET OF NJ DOT GAURDRAIL FACE.","1"
"17901824","2017","A140-2017-00022A","01","08","09","2017-01-07 ","NEW JERSEY STATE POLICE","02","WOODSTOWN - SQU","I-295","295 ","00000295__","11.600 ","","","","CO","06","07","46","","46","LEFT GUARDRAIL AT MILEPOST 11.6. NJDOT 1035 PARKWAY AVE TRENTON, NJ 08625","1"
"17900867","2017","B130-2017-00068A","01","18","08","2017-01-06 ","NEW JERSEY STATE POLICE","02","SOMERVILLE - SQ","I-287","287 ","00000287__","10.400 ","","T","RT 527","NJ","05","50","","","50","","1"
"17107372","2017","PV-2017-00268","02","17","08","2017-01-07 ","PENNSVILLE PD","01","PENNSVILLE","NJ 49","49  ","00000049__","6.240  ","CR 632 / LIGHTHOUSE RD","","","NJ","06","69","58","","","NJ DOT CONCRETE STORM DRAIN LOCATED ON EDGE OF THE ROADWAY.","1"
"17900128","2017","C060-2017-00010A","02","11","11","2017-01-03 ","NEW JERSEY STATE POLICE","02","HAMILTON-SUB -","NJ 29","29  ","00000029__","1.900  ","","","","NJ","46","","","","46","20 FEET OF GUARDRAIL DAMAGE NJ DOT","2"
"17900024","2017","B130-2017-00019A","02","12","25","2017-01-03 ","NEW JERSEY STATE POLICE","02","SOMERVILLE - SQ","NJ 440","440 ","00000440__","2.200  ","","F","GARDEN STATE PKWY","NC","06","56","69","","56","","2"
"17101590","2017","I-2017-00818","02","05","06","2017-01-06 ","MIDDLE TWSP PD","01","GOSHEN","NJ 47","47  ","00000047__","12.990 ","CR 615 / GOSHEN COURT HOUSE RD / GO","","","NJ","05","54","","","54","SCHOOL BUS STOP SIGN","1"
"17104130","2017","17-1269","02","03","19","2017-01-22 ","MAPLE SHADE PD","01","","NJ 41","41  ","00000041__","13.600 ","NJ 73","","","OH","56","46","","","46","THE METAL GUARDRAIL AT THE TOP OF THE RAMP FROM ROUTE 41 N/B TO ROUTE 73 N/B","2"
"17900703","2017","C060-2017-00057A","01","11","06","2017-01-08 ","NEW JERSEY STATE POLICE","02","HAMILTON-SUB -","I-95 MERCER COUNTY","95  ","00000095M_","4.400  ","","","","NJ","43","","","","","","1"
"17124727","2017","2017-000980","02","21","17","2017-01-16 ","WASHINGTON TWP PD (WARREN)","01","","NJ 31","31  ","00000031__","46.560 ","CR 625/AXFORD AVE/ACADEMY/MECHANIC/","","","NJ","05","54","04","01","01","GUIDE LINES TO POLE NUMBER AS AMP AT CORNER OF ACADEMY STREET AND STATE HIGHWAY?","2"
"17100733","2017","17-1475","02","11","07","2017-01-14 ","LAWRENCE TWP PD","01","","US 1","1   ","00000001__","4.990  ","US 1 BUSINESS","","","NJ","05","56","46","","46","","1"
"17901823","2017","A140-2017-00021A","01","08","09","2017-01-07 ","NEW JERSEY STATE POLICE","02","WOODSTOWN - SQU","I-295","295 ","00000295__","11.200 ","","","","NJ","06","07","46","","46","LEFT GUARDRAIL AT MILEPOST 11.2. NJ DOT, 1035 PARKWAY AVE TRENTON, NJ 08625","1"
"17900203","2017","C060-2017-00017A","02","11","03","2017-01-03 ","NEW JERSEY STATE POLICE","02","HAMILTON-SUB -","NJ 29","29  ","00000029__","1.500  ","","","","PA","06","48","","","","","3"
"17901576","2017","B130-2017-00225A","01","18","01","2017-01-16 ","NEW JERSEY STATE POLICE","02","SOMERVILLE - SQ","I-287","287 ","00000287__","21.800 ","","","","NJ","05","59","","","59","","1"
"17100756","2017","17-1880-AC","02","11","07","2017-01-18 ","LAWRENCE TWP PD","01","","US 1","1   ","00000001__","5.970  ","ROUTE 546 / BAKERS BASIN RD","","","NJ","56","50","","","50","NJDOT BRUNSWICK PIKE LAWRENCE TWP NJ 08648","1"
"17901095","2017","C020-2017-00027A","01","03","24","2017-01-10 ","NEW JERSEY STATE POLICE","02","BORDENTOWN - SQ","I-295","295 ","00000295__","41.400 ","","","","PA","46","","","","46","20 FEET GUARDRAIL FACE","3"
"17900519","2017","A310-2017-00026A","01","04","08","2017-01-05 ","NEW JERSEY STATE POLICE","02","BELLMAWR - SQUA","I-676","676 ","00000676__","3.300  ","","","","NJ","05","48","48","","","CONCRETE BARRIER (DOT CHERRY HILL,1 EXECUTIVE CAMPUS, CHERRY HILL,NJ 08002)","3"
"17135261","2017","17SB00312","02","13","43","2017-01-19 ","SEA BRIGHT PD","01","SEA BRIGHT PD","NJ 36","36  ","00000036__","","","","","NJ","48","46","","","48","VEHICLE STRUCK HIGHWAY MEDIAN, AS WELL AS HIGHWAY GUARDRAIL.","1"
"17903737","2017","B020-2017-00078A","02","21","06","2017-01-31 ","NEW JERSEY STATE POLICE","02","HOPE - SQUAD 1","NJ 94","94  ","00000094__","10.900 ","","","","NY","26","46","","","26","","3"
"17104844","2017","2017-0157","02","03","03","2017-01-10 ","BORDENTOWN CITY PD","01","","US 130","130 ","00000130__","56.090 ","ROUTE 528 / CROSSWICKS ST","","","NJ","56","59","54","56","59","PROPERTY OF NJDOT. 12 SECTIONS OF MEDIAN FENCE, 4 FENCE POSTS, 4 BARRIER POSTS","3"
"17901098","2017","C020-2017-00043A","01","03","06","2017-01-14 ","NEW JERSEY STATE POLICE","02","BORDENTOWN - SQ","I-295","295 ","00000295__","47.300 ","","","","NJ","46","01","58","","01","GUARD RAIL.","1"
"17902802","2017","B080-2017-00172A","01","14","12","2017-01-21 ","NEW JERSEY STATE POLICE","02","NETCONG - SQUAD","I-287","287 ","00000287__","37.500 ","","","","NJ","06","56","47","","47","","1"
"17900787","2017","A140-2017-00031A","02","17","14","2017-01-08 ","NEW JERSEY STATE POLICE","02","WOODSTOWN - SQU","NJ 77","77  ","00000077__","13.500 ","","","","NJ","08","06","46","","46","LIGHT DAMAGE TO GUARD RAIL ON SOUTHBOUND SIDE OF SH 77.","1"
"17115717","2017","17-000583","02","13","28","2017-01-07 ","MARLBORO TWP PD","01","","NJ 18","18  ","00000018__","29.900 ","","","","NJ","06","46","","","","","1"
"17100713","2017","17-1447-AC","02","13","18","2017-01-19 ","HOLMDEL PD","01","","NJ 35","35  ","00000035__","40.470 ","TAKOLUSA DR / UNION AVE","","","NJ","48","","","","","","2"
"17111627","2017","17007670","02","09","08","2017-01-24 ","NORTH BERGEN PD","01","17-007670","NJ 495","495 ","00000495__","","","","","NJ","26","01","48","","","","1"
"17117560","2017","17-54","02","13","22","2017-01-03 ","KEYPORT PD","01","","NJ 36","36  ","00000036__","","RT 444","","","NJ","46","56","","","","MINOR DAMAGE TO GUARDRAIL","1"
"17502381","2017","17TF00426","02","13","36","2017-01-09 ","TINTON FALLS PD","01","","NJ 18","18  ","00000018__","15.010 ","CR 38 / WAYSIDE RD","","","NJ","26","06","46","","26","","1"
"17117112","2017","2017000227","02","16","14","2017-01-02 ","WAYNE PD","01","","NJ 23","23  ","00000023__","","RT23 SERVICE RDN","","","NJ","48","","","","48","","1"
"17119560","2017","17000103","02","12","16","2017-01-01 ","PERTH AMBOY PD","01","","NJ 35","35  ","00000035__","52.180 ","CR 656 / SMITH ST","","","","50","","","","50","KEPP RIGHT STREET SIGN","1"
"17901758","2017","B080-2017-00102A","01","14","29","2017-01-14 ","NEW JERSEY STATE POLICE","02","NETCONG - SQUAD","I-80","80  ","00000080__","43.000 ","","","","NJ","06","48","","","48","","1"
"17905087","2017","D030-2017-00309A","03","07","14","2017-01-29 ","NEW JERSEY STATE POLICE","02","NEWARK - SQUAD","I-78","78  ","00000078__","59.400 ","","","","NJ","48","","","","48","CONCRETE BARRIER - NJTA PO BOX 5042 WOODBRIDGE, NJ 07095-5042","1"
"17902283","2017","B020-2017-00062A","01","21","01","2017-01-23 ","NEW JERSEY STATE POLICE","02","HOPE - SQUAD 3","I-80","80  ","00000080__","18.600 ","","","","IN","05","46","05","46","46","","1"
"17100067","2017","170104809","02","04","08","2017-01-04 ","CAMDEN COUNTY METRO POLICE","01","NRT PLTN 5","US 30","30  ","00000030__","1.730  ","FLANDERS AVE","","","NJ","48","","","","","","2"
"17108629","2017","17-3196","02","13","19","2017-01-16 ","HOWELL TWP PD","01","","US 9","9   ","00000009__","103.480","ALEXANDER AVE","","","NJ","56","05","50","","50","SINGLE SIGN POST WITH 2-ONE WAY SIGNS AND 1-D0 NOT ENTER SIGN.","1"
"17102986","2017","17-00994","02","02","56","2017-01-14 ","RUTHERFORD PD","01","","NJ 3","3   ","00000003__","6.400  ","","","","NJ","48","","","","","","3"
"17108805","2017","17MT00583","02","13","31","2017-01-07 ","MIDDLETOWN PD","01","","NJ 36","36  ","00000036__","19.270 ","MONTANA AVE","","","NJ","56","05","50","57","50","STOP SIGN AT CORNER","1"
"17902342","2017","B080-2017-00198A","01","21","01","2017-01-24 ","NEW JERSEY STATE POLICE","02","NETCONG - SQUAD","I-80","80  ","00000080__","21.500 ","","","","OH","06","46","","","","15 FEET OF GUARDRAIL DAMAGE OWNED BY THE STATE OF NJ","1"
"17105272","2017","17004869","02","18","06","2017-01-07 ","BRIDGEWATER TWP PD","01","HQ","US 22","22  ","00000022__","37.130 ","CR 675 / CHIMNEY ROCK RD","","","NJ","48","","","","","","1"
"17167744","2017","17-509","03","09","06","2017-01-07 ","JERSEY CITY PD","01","EAST","I-78","78  ","00000078__","66.760 ","JERSEY AVE","","","NJ","48","","","","","","2"
"17902607","2017","B050-2017-00100A","02","19","01","2017-01-23 ","NEW JERSEY STATE POLICE","02","SUSSEX - SQUAD","US 206","206 ","00000206__","102.500","FOREST LAKES DR NORTH","","","NJ","69","","","","69","ENTRANCE SIGN TO FOREST LAKES DAMAGED.","1"
"17108190","2017","17NT00572","02","13","34","2017-01-07 ","NEPTUNE TWP PD","01","","NJ 66","66  ","00000066__","2.490  ","BOWNE RD / WAYSIDE RD","","","NJ","46","","","","46","GUARDRAIL STRUCK BUT SUFFERED NO DAMAGE","1"
"17210989","2017","I-2017-000838","02","02","45","2017-01-16 ","PALISADES PARK PD","01","275 BROAD AVEN?","US 46","46  ","00000046__","71.830 ","US 1 / BROAD AVE","","","NJ","48","","","","48","","1"
"17110226","2017","17-05644","02","15","07","2017-02-01 ","TOMS RIVER PD","01","DISTRICT ONE","NJ 37","37  ","00000037__","3.450  ","ST CATHERINE BLVD","","","NJ","26","26","48","","26","","2"
"17106762","2017","2017000292","02","08","11","2017-01-03 ","MONROE TWP PD (GLOUCESTER)","01","PATROL","US 322","322 ","00000322__","19.860 ","YORK AVE","","","NJ","06","54","","","","MAILBOX AT 1720, 1722 ALONG WITH A WAGON WHEEL.","1"
"17903179","2017","B080-2017-00192A","01","14","27","2017-01-23 ","NEW JERSEY STATE POLICE","02","NETCONG - SQUAD","I-80","80  ","00000080__","24.800 ","","","","PA","05","46","","","46","","1"
"17100391","2017","I-N2017-000673","02","18","14","2017-01-09 ","NORTH PLAINFIELD PD","01","","US 22","22  ","00000022__","44.400 ","WILSON AVE","","","NJ","48","","","","48","LARGE SCRAPES ON CONCRETE BARRIER.","1"
"17101025","2017","2017001865","02","16","02","2017-01-11 ","CLIFTON PD","01","","US 46","46  ","00000046__","60.250 ","NJ 3","","","NJ","46","","","","","","1"
"17946091","2017","B060-2017-00355A","01","16","08","2017-02-01 ","NEW JERSEY STATE POLICE","02","TOTOWA-SUB - SQ","I-80","80  ","00000080__","58.800 ","","","","NJ","48","01","56","49","01","Concrete traffic barrier, NJDOT West Trenton NJ","5"
"17121152","2017","2017-355","02","08","05","2017-01-07 ","FRANKLIN TWP PD (GLOUCESTER)","01","FTPD","US 40","40  ","00000040__","25.200 ","CR 613 / PORCHTOWN RD","","","NJ","08","47","","","47","SUPERFICIAL DAMAGE TO ABUTMENT ON RT. 40 EAST BOUND","1"
"17902152","2017","B130-2017-00307A","01","18","20","2017-01-23 ","NEW JERSEY STATE POLICE","02","SOMERVILLE - SQ","I-78","78  ","00000078__","37.400 ","","","","NY","06","46","","","46","","1"
"17109913","2017","170001816","02","04","27","2017-01-08 ","PENNSAUKEN TWP PD","01","06","US 30","30  ","00000030__","","","T","RT 130","VA","41","","","","41","41 IMPACT ATTENUATOR STATE OF NEW JERSET DOT","1"
"17179759","2017","I-2017-006309","02","02","19","2017-01-19 ","FORT LEE PD","01","PATROL DIVISION","NJ 4","4   ","00000004__","10.100 ","","","","NJ","48","48","","","","","2"
"17113911","2017","17-002138","02","08","20","2017-01-29 ","WEST DEPTFORD TWP PD","01","PATROL","NJ 45","45  ","00000045__","23.240 ","CR 648 / OGDEN STATION RD","","","NJ","56","49","50","","56","STREET SIGN","1"
"17900627","2017","B050-2017-00061A","02","19","07","2017-01-14 ","NEW JERSEY STATE POLICE","02","SUSSEX - SQUAD","NJ 94","94  ","00000094__","21.100 ","","","","PA","06","08","47","46","47","15 FEET OF GUARDRAIL, PROPERTY OF NJ DOT TRENTON.","2"
"17367543","2017","I-2017-000044","02","12","20","2017-01-02 ","SOUTH AMBOY PD","01","17-001","US 9","9   ","00000009__","129.800","","F","NJ 35","NJ","06","48","","","48","CONCRETE BARRIER.","1"
"17115909","2017","NPD-2017-000342","02","19","15","2017-01-07 ","NEWTON PD","01","","NJ 94","94  ","00000094__","21.920 ","SUMMIT AVE","","","NJ","06","50","","","50","HOSPITAL TRAFFIC SIGN WAS DAMAGED","2"
"17900916","2017","B130-2017-00156A","01","12","05","2017-01-11 ","NEW JERSEY STATE POLICE","02","SOMERVILLE - SQ","I-287","287 ","00000287__","0.300  ","","","","NJ","06","46","","","46","","1"
"17101240","2017","17-01239","02","03","19","2017-01-22 ","MAPLE SHADE PD","01","012217","NJ 41","41  ","00000041__","13.600 ","","F","NJ 73","MD","48","46","48","","46","CONCRETE BARRIER AND GUARDRAIL WERE CRASHED INTO BY D1.","2"
"17103655","2017","17-2589-AC","02","11","07","2017-01-24 ","LAWRENCE TWP PD","01","","US 206","206 ","00000206__","45.000 ","US 1 BUSINESS / CR 645 / STRAWBERRY","","","NJ","06","50","","","","- NJ DOT - BRUNSWICK PK TRENTON NJ","1"
"17900874","2017","B130-2017-00090A","01","18","02","2017-01-07 ","NEW JERSEY STATE POLICE","02","SOMERVILLE - SQ","I-287","287 ","00000287__","26.800 ","","","","NJ","46","46","","","46","","1"
"17902739","2017","A310-2017-00060A","01","04","08","2017-01-06 ","NEW JERSEY STATE POLICE","02","BELLMAWR - SQUA","I-676","676 ","00000676__","1.600  ","","","","NJ","05","50","","","50","SIGN- DEPARTMENT OF TRANSPORTATION 
ONE EXECUTIVE CAMPUS CHERRY HILL, NJ","1"
"17113920","2017","17-001475","02","08","20","2017-01-21 ","WEST DEPTFORD TWP PD","01","PATROL","NJ 44","44  ","00000044__","7.260  ","ROBIN DR","","","NJ","06","61","46","46","","MAILBOX OF #115 CROWN POINT ROAD.","1"
"17901899","2017","C060-2017-00172A","01","11","07","2017-01-25 ","NEW JERSEY STATE POLICE","02","HAMILTON-SUB -","I-95 MERCER COUNTY","95  ","00000095M_","8.300  ","","","","NJ","06","46","","","","SIX (6) FT. OF GUARDRAIL DAMAGE.","1"
"17115681","2017","17-1146","02","13","28","2017-01-13 ","MARLBORO TWP PD","01","","NJ 18","18  ","00000018__","29.700 ","","","","NJ","06","46","05","","46","GUARDRAIL CENTER MEDIAN MILE MARKET 29.7","1"
"17901142","2017","D030-2017-00061A","03","02","49","2017-01-06 ","NEW JERSEY STATE POLICE","02","NEWARK - SQUAD","I-95, N.J. TURNPIKE EXPRESS (INNER)","95  ","00000095E_","71.450 ","","","","NJ","05","55","47","54","","N.J.T.A., P.O. BOX 5042, WOODBRIDGE, NJ 07095- GUARDRAIL AND 116.8 MP SIGN","2"
"17151190","2017","17-2667","02","03","13","2017-01-31 ","EVESHAM TWP PD","01","","NJ 73","73  ","00000073__","24.130 ","NJ 70","","","NJ","48","","","","","","1"
"17903128","2017","A310-2017-00183A","02","04","04","2017-01-23 ","NEW JERSEY STATE POLICE","02","BELLMAWR - SQUA","NJ 42","42  ","00000042__","13.820 ","LEAF AVE","","","PA","05","56","46","","46","GUARDRAIL FACE, 15 FEET.  NJDOT 1 EXECUTIVE CAMPUS, CHERRY HILL, NJ","1"
"17902154","2017","B130-2017-00309A","01","12","05","2017-01-23 ","NEW JERSEY STATE POLICE","02","SOMERVILLE - SQ","I-287","287 ","00000287__","1.800  ","","","","NJ","05","46","","","46","12 FEET OF GUIDERAIL","1"
"17901725","2017","B060-2017-00196A","01","02","42","2017-01-17 ","NEW JERSEY STATE POLICE","02","TOTOWA-SUB - SQ","I-287","287 ","00000287__","59.100 ","","","","NJ","06","48","","","48","","1"
"17900182","2017","A310-2017-00003A","01","04","09","2017-01-01 ","NEW JERSEY STATE POLICE","02","BELLMAWR - SQUA","I-295","295 ","00000295__","32.500 ","","","","NJ","05","50","60","","50","NJ DOT SIGN SUPPORT,NJ DOT BLUETOOTH SOLAR PANEL SIGN, 
ASTI #304, NJ DOT#9","1"
"17556393","2017","2017-003008","02","04","15","2017-01-19 ","GLOUCESTER TWP PD","01","","NJ 168","168 ","00000168__","1.390  ","CR 747 / DAVISTOWN RD / LAKELAND AV","","","NJ","56","39","69","","69","HEAVY DAMAGE TO THE FRONT AREA AND GARAGE DOOR OF THE AUTO SHEEN CAR WASH.","2"
"17113235","2017","17-008007","02","20","04","2017-01-24 ","ELIZABETH PD","01","","US 1","1   ","00000001__","","","","","NJ","48","","","","","","1"
"17903125","2017","A310-2017-00148A","02","04","04","2017-01-17 ","NEW JERSEY STATE POLICE","02","BELLMAWR - SQUA","NJ 42","42  ","00000042__","13.800 ","","","","NJ","05","15","05","46","46","GUARDRAIL:1 EXECUTIVE CAMPUS, CHERRY HILL, NJ 08002/ (856)486-6600.","1"
"17902515","2017","B130-2017-00373A","01","12","17","2017-01-28 ","NEW JERSEY STATE POLICE","02","SOMERVILLE - SQ","I-287","287 ","00000287__","10.000 ","","","","NJ","50","","","","50","","1"
"17147284","2017","17-000886","01","16","08","2017-01-03 ","PATERSON PD","01","A4","I-80","80  ","00000080__","","","","","NJ","46","","","","46","ROADSIDE GUARD RAIL","2"
"17126861","2017","17-1163","02","09","06","2017-01-24 ","JERSEY CITY PD","01","NORTH DISTRICT","US 1","1   ","00000001__","54.180 ","NJ 7 / NEWARK AVE","","","NJ","48","","","","","","1"
"17901080","2017","B130-2017-00124A","01","18","01","2017-01-10 ","NEW JERSEY STATE POLICE","02","SOMERVILLE - SQ","I-78","78  ","00000078__","30.100 ","","T","I-287","MA","05","46","","","46","5-10 FEET OF GUARDRAIL","1"
"17103658","2017","17-2640-AC","02","11","07","2017-01-25 ","LAWRENCE TWP PD","01","","US 1","1   ","00000001__","7.550  ","KELLY VIA DUCT","","","OK","48","59","","","48","DAMAGE TO THE DOT FENCE IN THE CENTER MEDIAN - NJ DOT - 640 S BROAD ST TRENTON ?","1"
"17185427","2017","2017-000578","02","04","07","2017-01-22 ","BROOKLAWN PD","01","","US 130","130 ","00000130__","25.740 ","NJ 47/ROUTE 551/BROADWAY/HANNIEVIL/","","","PA","69","","","","69","","1"
